day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
D0285,BTC,iron_condor,112994.93,113495.06,448.11,31.7,416.41
D0286,BTC,iron_condor,113495.06,114332.85,448.43,31.51,416.92
D0287,BTC,iron_condor,114332.85,112983.71,437.42,29.13,408.29
D0288,BTC,iron_condor,112983.71,110424.5,417.27,26.33,390.94
D0289,BTC,iron_condor,110424.5,111666.36,409.99,26.09,383.9
D0290,BTC,iron_condor,111666.36,117794.48,-1865.52,103.54,-1969.06
D0291,BTC,iron_condor,117794.48,117877.94,462.53,32.15,430.38
D0292,BTC,iron_condor,117877.94,115956.38,461.15,31.85,429.29
D0293,BTC,iron_condor,115956.38,113766.29,453.55,31.32,422.23
D0294,BTC,iron_condor,113766.29,113461.37,445.03,30.74,414.28
D0295,BTC,iron_condor,113461.37,108989.19,-1695.17,58.21,-1753.38
D0296,BTC,iron_condor,108989.19,108507.76,383.15,22.63,360.51
D0297,BTC,iron_condor,108507.76,108662.86,378.68,22.17,356.51
D0298,BTC,iron_condor,108662.86,115087.17,-1794.09,103.65,-1897.73
D0299,BTC,iron_condor,115087.17,118489.8,446.54,30.43,416.11
D0300,BTC,iron_condor,118489.8,122340.46,466.82,32.65,434.17
D0301,BTC,iron_condor,122340.46,119572.66,458.42,29.56,428.86
D0302,BTC,iron_condor,119572.66,122054.82,457.9,30.55,427.35
D0303,BTC,iron_condor,122054.82,117706.51,-417.54,67.42,-484.96
D0304,BTC,iron_condor,117706.51,118806.77,464.21,32.52,431.69
D0305,BTC,iron_condor,118806.77,120320.13,468.25,32.78,435.48
D0306,BTC,iron_condor,120320.13,117400.75,440.96,27.53,413.42
D0307,BTC,iron_condor,117400.75,124947.24,-1902.61,117.73,-2020.34
D0308,BTC,iron_condor,124947.24,127130.87,507.73,37.59,470.15
D0309,BTC,iron_condor,127130.87,119697.52,-2052.77,117.8,-2170.57
D0310,BTC,long_strangle,119697.52,121733.9,-1300.62,53.72,-1354.33
D0311,BTC,iron_condor,121733.9,120126.99,504.89,38.9,465.98
D0312,BTC,iron_condor,120126.99,120072.95,494.99,37.62,457.37
D0313,BTC,iron_condor,120072.95,121782.16,490.05,36.58,453.46
D0314,BTC,iron_condor,121782.16,123224.22,483.22,34.22,449.0
D0315,BTC,iron_condor,123224.22,115523.27,-1974.66,116.51,-2091.17
D0316,BTC,long_strangle,115523.27,111341.42,14.66,93.97,-79.3
D0317,BTC,long_strangle,111341.42,114019.87,-1303.61,53.84,-1357.45
D0318,BTC,iron_condor,114019.87,118717.24,-312.32,65.73,-378.05
D0319,BTC,iron_condor,118717.24,125967.09,-1877.22,102.01,-1979.23
D0320,BTC,long_strangle,125967.09,133240.64,2698.2,103.31,2594.88
D0321,BTC,long_strangle,133240.64,124849.46,3433.54,109.16,3324.38
D0322,BTC,long_strangle,124849.46,127840.25,-1703.22,70.34,-1773.56
D0323,BTC,long_strangle,127840.25,120314.16,2006.24,115.22,1891.02
D0324,BTC,long_strangle,120314.16,126505.91,26.34,119.72,-93.38
D0325,BTC,long_strangle,126505.91,127453.61,-2002.42,82.7,-2085.12
D0326,BTC,long_strangle,127453.61,122906.07,-1117.59,103.06,-1220.65
D0327,BTC,long_strangle,122906.07,130849.66,2043.62,118.18,1925.44
D0328,BTC,long_strangle,130849.66,133457.1,-1960.94,80.99,-2041.92
D0329,BTC,long_strangle,133457.1,125699.55,1593.32,125.78,1467.53
D0330,BTC,long_strangle,125699.55,126800.87,-1913.88,79.04,-1992.92
D0331,BTC,long_strangle,126800.87,123861.38,-1788.39,73.86,-1862.25
D0332,BTC,long_strangle,123861.38,124233.78,-1589.88,65.66,-1655.55
D0333,BTC,long_strangle,124233.78,122371.6,-1564.39,64.61,-1629.0
D0334,BTC,long_strangle,122371.6,127702.63,723.87,101.7,622.17
D0335,BTC,long_strangle,127702.63,122059.95,1257.69,100.55,1157.14
D0336,BTC,long_strangle,122059.95,123221.97,-1423.9,58.81,-1482.7
