day,symbol,strategy,spot,expiry_spot,pnl_before_fees,fees,pnl_after_fees
2026-04-24,BTC,long_strangle,77437.13,77625.0,-0.54,0.02,-0.56
2026-04-25,BTC,long_strangle,77625.0,78657.55,-0.38,0.02,-0.4
2026-04-26,BTC,long_strangle,78657.55,77371.32,-0.09,0.03,-0.12
2026-04-27,BTC,long_strangle,77371.32,76342.77,-0.29,0.02,-0.31
2026-04-28,BTC,long_strangle,76342.77,75780.0,-0.4,0.02,-0.41
2026-04-29,BTC,long_strangle,75780.0,76346.57,-0.34,0.01,-0.36
2026-04-30,BTC,long_strangle,76346.57,78231.13,0.92,0.02,0.9
2026-05-01,BTC,long_strangle,78231.13,78686.85,-0.34,0.01,-0.36
2026-05-02,BTC,long_strangle,78686.85,78568.57,-0.3,0.01,-0.31
2026-05-03,BTC,long_strangle,78568.57,79861.01,0.29,0.02,0.27
2026-05-04,BTC,long_strangle,79861.01,80905.52,0.0,0.02,-0.02
2026-05-05,BTC,long_strangle,80905.52,81447.01,-0.32,0.01,-0.34
2026-05-06,BTC,long_strangle,81447.01,80006.0,0.43,0.02,0.4
2026-05-07,BTC,long_strangle,80006.0,80193.17,-0.32,0.01,-0.33
2026-05-08,BTC,long_strangle,80193.17,80678.4,-0.29,0.01,-0.3
2026-05-09,BTC,long_strangle,80678.4,82210.07,0.63,0.02,0.61
2026-05-10,BTC,long_strangle,82210.07,81745.65,-0.29,0.01,-0.3
2026-05-11,BTC,long_strangle,81745.65,80504.47,0.39,0.02,0.37
2026-05-12,BTC,long_strangle,80504.47,79313.61,0.23,0.02,0.21
2026-05-13,BTC,long_strangle,79313.61,81089.99,0.7,0.02,0.68
2026-05-14,BTC,long_strangle,81089.99,79113.21,0.86,0.02,0.84
2026-05-15,BTC,long_strangle,79113.21,78148.05,-0.24,0.02,-0.26
2026-05-16,BTC,long_strangle,78148.05,77457.67,-0.37,0.02,-0.39
2026-05-17,BTC,long_strangle,77457.67,77001.87,-0.35,0.01,-0.37
2026-05-18,BTC,long_strangle,77001.87,76834.36,-0.35,0.01,-0.36
2026-05-19,BTC,long_strangle,76834.36,77552.23,-0.34,0.01,-0.35
2026-05-20,BTC,long_strangle,77552.23,74449.3,2.12,0.02,2.1
2026-05-27,BTC,long_strangle,74449.3,73884.38,-0.38,0.02,-0.4
2026-05-30,BTC,long_strangle,73884.38,73674.39,-0.38,0.02,-0.4
2026-05-31,BTC,long_strangle,73674.39,71408.9,1.06,0.02,1.04
2026-06-01,BTC,long_strangle,71408.9,63085.99,7.3,0.02,7.28
2026-06-08,BTC,long_strangle,63085.99,61510.99,-0.71,0.02,-0.72
2026-06-10,BTC,long_strangle,61510.99,63625.99,-0.25,0.02,-0.27
2026-06-11,BTC,long_strangle,63625.99,63580.01,-0.8,0.02,-0.82
